Co1,Cu1,Fe1,Mn1,Ni1,Co2,Cu2,Fe2,Mn2,Ni2,Co3,Cu3,Fe3,Mn3,Ni3,E_ads
0,0,0,1,0,1,1,1,1,2,0,0,1,1,1,-1.010451092
0,0,1,0,0,0,2,1,1,2,1,1,1,0,0,-1.38366562
0,1,0,0,0,1,1,1,1,2,1,2,0,0,0,-0.459808574
0,0,0,0,1,1,1,1,1,2,1,0,1,0,1,-1.443632448
0,1,0,0,0,1,1,1,1,2,0,0,2,0,1,-0.640490796
0,0,1,0,0,1,1,0,2,2,1,1,1,0,0,-1.642618834
0,0,0,0,1,1,1,0,2,2,1,0,2,0,0,-1.405602494
1,0,0,0,0,0,2,1,1,2,2,0,0,0,1,-1.68784675
0,0,0,0,1,0,2,1,1,2,0,1,1,0,1,-1.524147668
0,0,1,0,0,0,2,2,1,1,0,0,0,2,1,-1.673636611
0,0,1,0,0,0,1,3,1,1,1,0,0,1,1,-1.659011761
0,0,0,1,0,0,1,3,0,2,0,0,1,1,1,-1.188740471
0,0,0,0,1,0,2,2,1,1,0,1,0,0,2,-1.425143623
0,0,1,0,0,0,2,2,1,1,2,0,1,0,0,-1.567182148
0,0,0,0,1,0,2,2,1,1,0,1,0,0,2,-1.422705262
0,0,0,0,1,0,1,3,1,1,0,1,1,0,1,-1.442590582
0,0,0,0,1,1,1,1,2,1,0,1,1,0,1,-1.380748312
0,0,0,0,1,1,2,0,2,1,0,1,1,1,0,-1.298828345
1,0,0,0,0,0,1,1,2,2,0,0,2,1,0,-1.611443102
0,0,1,0,0,1,0,1,2,2,0,0,1,2,0,-1.600510281
0,0,0,1,0,2,0,2,1,1,0,0,0,3,0,-1.386607738
